financial_year,state,fertilizer_type,sales_current,sales_lag_1,requirement_current,requirement_lag_1,availability_current,availability_lag_1,iffco_production_current,iffco_production_lag_1,iffco_production_available,potential_reporting_break,target_sales
2016-17,Assam,npks,0.11,0.15,0.1,0.1,0.11,0.16,,,False,0,0.13
2016-17,Assam,urea,3.19,3.91,3.1,3.3,3.23,3.93,,,False,0,3.71
2016-17,Bihar,dap,5.32,5.45,6.0,5.0,5.53,5.88,,,False,0,6.82
2016-17,Bihar,mop,2.3,1.54,1.9,1.9,2.38,1.65,,,False,0,2.45
2016-17,Bihar,npks,2.54,3.7,4.0,3.25,2.64,3.87,,,False,0,2.82
2016-17,Bihar,urea,19.77,23.58,19.5,19.25,20.15,23.84,,,False,0,20.39
2016-17,Chandigarh,dap,0.0,0.0,0.0,0.0,0.0,0.0,,,False,0,0.0
2016-17,Chandigarh,mop,0.0,0.0,0.0,0.0,0.02,0.0,,,False,0,0.0
2016-17,Chandigarh,npks,0.0,0.0,0.0,0.0,0.02,0.0,,,False,0,0.0
2016-17,Chandigarh,urea,0.0,0.0,0.0,0.0,0.0,0.0,,,False,0,0.0
2016-17,Chhattisgarh,dap,2.91,3.13,3.6,3.0,3.17,3.28,,,False,0,3.26
2016-17,Chhattisgarh,mop,0.61,0.72,1.2,1.05,0.69,0.82,,,False,0,0.73
2016-17,Chhattisgarh,npks,0.68,0.88,1.6,1.5,0.81,0.98,,,False,0,0.81
2016-17,Chhattisgarh,urea,6.5,8.45,5.99,6.75,6.93,8.74,,,False,0,6.63
2016-17,Dadra & Nagar Haveli,dap,0.01,0.01,0.01,0.01,0.01,0.01,,,False,0,0.0
2016-17,Dadra & Nagar Haveli,mop,0.0,0.0,0.0,0.0,0.0,0.0,,,False,0,0.0
2016-17,Dadra & Nagar Haveli,npks,0.0,0.0,0.0,0.0,0.0,0.0,,,False,0,0.0
2016-17,Dadra & Nagar Haveli,urea,0.01,0.01,0.01,0.01,0.01,0.01,,,False,0,0.01
2016-17,Daman & Diu,dap,0.0,0.0,0.0,0.0,0.0,0.0,,,False,0,0.0
2016-17,Daman & Diu,mop,0.0,0.0,0.0,0.0,0.0,0.0,,,False,0,0.0
2016-17,Daman & Diu,npks,0.0,0.0,0.0,0.0,0.0,0.0,,,False,0,0.0
2016-17,Daman & Diu,urea,0.0,0.0,0.01,0.01,0.0,0.0,,,False,0,0.0
2016-17,Delhi,dap,0.01,0.01,0.06,0.06,0.0,0.01,,,False,0,0.03
2016-17,Delhi,mop,0.0,0.0,0.02,0.02,0.0,0.0,,,False,0,0.0
2016-17,Delhi,npks,0.0,0.0,0.03,0.03,0.0,0.0,,,False,0,0.0
2016-17,Delhi,urea,0.13,0.11,0.09,0.09,0.12,0.11,,,False,0,0.13
2016-17,Goa,dap,0.02,0.02,0.02,0.02,0.02,0.02,,,False,0,0.02
2016-17,Goa,mop,0.01,0.01,0.01,0.01,0.01,0.01,,,False,0,0.01
2016-17,Goa,npks,0.03,0.03,0.04,0.05,0.02,0.03,,,False,0,0.02
2016-17,Goa,urea,0.03,0.04,0.04,0.05,0.03,0.04,,,False,0,0.02
2016-17,Gujarat,dap,4.48,5.12,5.3,5.0,4.6,5.28,,,False,0,5.47
2016-17,Gujarat,mop,1.43,1.17,1.5,1.8,1.43,1.19,,,False,0,1.61
2016-17,Gujarat,npks,6.12,5.98,5.6,5.2,6.26,6.26,,,False,0,6.8
2016-17,Gujarat,urea,20.55,21.04,18.5,20.5,20.77,21.31,6.02,6.01,True,0,22.39
2016-17,Haryana,dap,5.62,6.64,6.3,6.0,5.79,6.8,,,False,0,5.47
2016-17,Haryana,mop,0.62,0.4,0.35,0.45,0.65,0.5,,,False,0,0.72
2016-17,Haryana,npks,0.18,0.25,0.65,0.65,0.24,0.28,,,False,0,0.19
2016-17,Haryana,urea,19.62,21.13,18.0,18.6,20.36,21.7,,,False,0,20.62
2016-17,Himachal Pradesh,dap,0.01,0.0,0.0,0.0,0.01,0.0,,,False,0,0.0
2016-17,Himachal Pradesh,mop,0.09,0.08,0.06,0.09,0.07,0.08,,,False,0,0.11
2016-17,Himachal Pradesh,npks,0.37,0.36,0.33,0.3,0.36,0.36,,,False,0,0.3
2016-17,Himachal Pradesh,urea,0.62,0.73,0.58,0.71,0.62,0.73,,,False,0,0.7
2016-17,J&K,dap,0.66,0.59,0.69,0.78,0.69,0.61,,,False,0,0.65
2016-17,J&K,mop,0.29,0.11,0.25,0.26,0.29,0.11,,,False,0,0.38
2016-17,J&K,npks,0.01,0.03,0.02,0.0,0.01,0.03,,,False,0,0.01
2016-17,J&K,urea,1.29,1.55,1.29,1.32,1.3,1.59,,,False,0,1.51
2016-17,Jharkhand,dap,0.62,0.66,0.95,1.05,0.67,0.66,,,False,0,0.82
2016-17,Jharkhand,mop,0.03,0.03,0.1,0.16,0.03,0.03,,,False,0,0.03
2016-17,Jharkhand,npks,0.15,0.33,0.58,0.85,0.15,0.35,,,False,0,0.14
2016-17,Jharkhand,urea,2.19,2.35,2.4,2.25,2.23,2.39,,,False,0,2.22
2016-17,Karnataka,dap,6.16,5.89,5.4,5.9,6.44,6.15,,,False,0,4.9
2016-17,Karnataka,mop,2.39,2.48,3.05,3.91,2.49,2.64,,,False,0,2.54
2016-17,Karnataka,npks,11.11,11.92,11.07,11.63,11.98,12.9,,,False,0,11.64
2016-17,Karnataka,urea,12.98,14.61,12.43,13.71,13.76,15.38,,,False,0,13.48
2016-17,Kerala,dap,0.29,0.24,0.23,0.34,0.33,0.28,,,False,0,0.31
2016-17,Kerala,mop,0.9,0.86,0.56,1.75,0.95,0.88,,,False,0,1.02
2016-17,Kerala,npks,1.13,1.21,1.04,2.25,1.22,1.32,,,False,0,1.17
2016-17,Kerala,urea,1.14,1.41,0.87,1.68,1.21,1.48,,,False,0,1.33
2016-17,Lakshadweep,dap,0.0,0.0,0.0,0.0,0.0,0.0,,,False,0,0.0
2016-17,Lakshadweep,mop,0.0,0.0,0.0,0.0,0.0,0.0,,,False,0,0.0
2016-17,Lakshadweep,npks,0.0,0.0,0.0,0.0,0.0,0.0,,,False,0,0.0
2016-17,Lakshadweep,urea,0.0,0.0,0.0,0.0,0.0,0.0,,,False,0,0.0
2016-17,Madhya Pradesh,dap,8.09,10.51,12.5,12.0,9.95,11.3,,,False,0,11.06
2016-17,Madhya Pradesh,mop,1.01,0.79,1.25,1.1,1.12,1.05,,,False,0,1.08
2016-17,Madhya Pradesh,npks,2.79,2.95,3.95,3.75,3.52,3.25,,,False,0,2.93
2016-17,Madhya Pradesh,urea,22.48,23.87,22.0,28.0,24.31,24.84,,,False,0,24.49
2016-17,Maharashtra,dap,6.0,6.72,7.84,8.5,6.2,6.8,,,False,0,6.66
2016-17,Maharashtra,mop,3.52,3.16,4.7,4.75,3.54,3.28,,,False,0,4.24
